duration,Type,mode,len,IP,len,src_IP,dst_IP,len,class
23:08:41.410146,"ARP,",Ethernet,6,len,4,10.0.0.18,2e:c4:f9:ba:27:0f,28,1
23:08:41.861287,"ARP,",Ethernet,6,len,4,10.0.0.37,"10.0.0.1,",28,0
23:08:41.862851,"ARP,",Ethernet,6,len,4,10.0.0.37,ea:ea:0e:1b:71:d7,28,1
23:08:42.045554,"ARP,",Ethernet,6,len,4,10.0.0.23,"10.0.0.1,",28,0
23:08:42.047457,"ARP,",Ethernet,6,len,4,10.0.0.23,4a:02:66:0b:01:11,28,1
23:08:43.018123,"ARP,",Ethernet,6,len,4,10.0.0.8,"10.0.0.1,",28,0
23:08:43.020900,"ARP,",Ethernet,6,len,4,10.0.0.8,ee:d0:38:30:05:9b,28,1
23:08:46.639714,"ARP,",Ethernet,6,len,4,10.0.0.25,"10.0.0.1,",28,0
23:08:46.641720,"ARP,",Ethernet,6,len,4,10.0.0.25,9e:52:ae:69:7b:66,28,1
23:08:48.928825,"ARP,",Ethernet,6,len,4,10.0.0.17,"10.0.0.1,",28,0
23:08:48.931156,"ARP,",Ethernet,6,len,4,10.0.0.17,ae:db:5a:d3:03:f9,28,1
23:09:05.853577,"ARP,",Ethernet,6,len,4,10.0.0.12,"10.0.0.1,",28,0
23:09:05.855374,"ARP,",Ethernet,6,len,4,10.0.0.12,0a:03:57:86:5a:28,28,1
23:10:21.465654,"ARP,",Ethernet,6,len,4,10.0.0.52,"10.0.0.1,",28,0
23:10:21.467009,"ARP,",Ethernet,6,len,4,10.0.0.52,f2:04:57:a2:b9:ff,28,1
23:10:22.564929,"ARP,",Ethernet,6,len,4,10.0.0.39,"10.0.0.1,",28,0
23:10:22.566215,"ARP,",Ethernet,6,len,4,10.0.0.39,86:12:ab:80:77:f2,28,1
23:10:23.820755,"ARP,",Ethernet,6,len,4,10.0.0.46,"10.0.0.1,",28,0
23:10:23.822278,"ARP,",Ethernet,6,len,4,10.0.0.46,82:99:80:4f:d9:a3,28,1
23:10:23.992847,"ARP,",Ethernet,6,len,4,10.0.0.15,"10.0.0.1,",28,0
